month,state,category,orders,revenue_brl,avg_delivery_days,avg_review_score
2016-10-01,RJ,sports_leisure,2,527.74,16.5,5.0
2016-10-01,RJ,toys,5,994.67,18.0,2.4
2016-10-01,RJ,watches_gifts,1,1423.55,9.0,5.0
2016-10-01,RN,auto,1,194.85,7.0,5.0
2016-10-01,RN,computers_accessories,1,41.18,25.0,5.0
2016-10-01,RN,furniture_decor,1,178.11,44.0,5.0
2016-10-01,RN,housewares,1,467.2,32.0,5.0
2016-10-01,RR,health_beauty,1,69.02,9.0,4.0
2016-10-01,RS,computers_accessories,1,51.05,12.0,4.0
2016-10-01,RS,consoles_games,1,982.41,44.0,5.0
2016-10-01,RS,cool_stuff,1,455.01,11.0,4.0
2016-10-01,RS,fashion_bags_accessories,1,45.7,18.0,1.0
2016-10-01,RS,furniture_decor,3,397.79,19.7,3.33
2016-10-01,RS,industry_commerce_and_business,2,226.34,16.5,4.5
2016-10-01,RS,pet_shop,1,116.16,8.0,5.0
2016-10-01,RS,sports_leisure,5,317.43,19.2,4.2
2016-10-01,RS,toys,2,306.22,21.0,5.0
2016-10-01,SC,air_conditioning,1,676.92,33.0,5.0
2016-10-01,SC,fixed_telephony,1,214.98,20.0,5.0
2016-10-01,SC,furniture_decor,2,870.62,12.5,4.5
2016-10-01,SC,health_beauty,4,419.11,20.4,2.4
2016-10-01,SC,perfumery,1,319.09,8.0,5.0
2016-10-01,SE,computers_accessories,1,176.85,21.0,5.0
2016-10-01,SE,consoles_games,1,79.99,49.0,4.0
2016-10-01,SE,furniture_decor,1,89.08,22.0,5.0
2016-10-01,SP,(unknown),1,65.5,18.0,5.0
2016-10-01,SP,air_conditioning,2,507.69,30.7,5.0
2016-10-01,SP,audio,1,35.95,8.0,5.0
2016-10-01,SP,auto,3,394.81,21.0,3.0
2016-10-01,SP,baby,4,535.94,15.0,4.4
2016-10-01,SP,bed_bath_table,1,45.01,22.0,4.0
2016-10-01,SP,computers_accessories,3,176.52,34.0,3.33
2016-10-01,SP,consoles_games,2,1016.19,14.5,4.5
2016-10-01,SP,cool_stuff,1,237.97,7.0,5.0
2016-10-01,SP,electronics,1,119.79,12.0,5.0
2016-10-01,SP,fashion_bags_accessories,3,194.71,11.7,4.67
2016-10-01,SP,fashion_male_clothing,1,35.86,26.0,1.0
2016-10-01,SP,fashion_shoes,1,40.95,11.0,5.0
2016-10-01,SP,fixed_telephony,3,539.36,13.3,3.67
2016-10-01,SP,food,1,96.23,14.0,5.0
2016-10-01,SP,furniture_decor,17,2104.98,14.3,3.48
2016-10-01,SP,garden_tools,2,278.35,11.5,5.0
2016-10-01,SP,health_beauty,9,881.29,24.9,3.89
2016-10-01,SP,housewares,4,717.15,19.8,1.67
2016-10-01,SP,industry_commerce_and_business,1,207.22,12.0,4.0
2016-10-01,SP,market_place,2,331.63,27.0,5.0
2016-10-01,SP,office_furniture,3,380.9,34.0,1.33
2016-10-01,SP,perfumery,10,1689.8,17.5,4.64
2016-10-01,SP,pet_shop,2,531.84,29.0,4.0
2016-10-01,SP,sports_leisure,4,312.84,12.3,4.25
2016-10-01,SP,telephony,4,150.2,9.3,4.0
2016-10-01,SP,toys,6,1232.4,19.7,4.33
2016-10-01,SP,watches_gifts,2,698.85,22.5,4.5
2016-12-01,PR,fashion_bags_accessories,1,19.62,5.0,5.0
2017-01-01,AC,bed_bath_table,2,538.38,20.3,2.0
2017-01-01,AC,furniture_decor,1,184.76,19.0,2.0
2017-01-01,AL,garden_tools,1,159.94,15.0,1.0
2017-01-01,AL,telephony,1,294.42,16.0,5.0
2017-01-01,BA,auto,1,114.1,18.0,4.0
2017-01-01,BA,computers_accessories,1,50.8,9.0,5.0
2017-01-01,BA,fashion_bags_accessories,1,160.42,9.0,4.0
2017-01-01,BA,furniture_decor,3,392.66,25.3,4.25
2017-01-01,BA,garden_tools,2,251.86,10.0,4.0
2017-01-01,BA,health_beauty,4,1653.64,13.3,2.25
2017-01-01,BA,housewares,1,117.96,17.0,2.0
2017-01-01,BA,kitchen_dining_laundry_garden_furniture,1,128.2,11.0,5.0
2017-01-01,BA,office_furniture,1,137.6,16.0,5.0
2017-01-01,BA,perfumery,3,605.84,13.0,5.0
2017-01-01,BA,pet_shop,2,250.72,16.7,4.67
2017-01-01,BA,sports_leisure,1,187.49,15.0,5.0
2017-01-01,BA,toys,3,274.08,11.3,4.33
2017-01-01,CE,bed_bath_table,1,96.65,28.0,5.0
2017-01-01,CE,cool_stuff,1,242.99,9.0,5.0
2017-01-01,CE,fashion_bags_accessories,1,58.74,104.0,1.0
2017-01-01,CE,furniture_decor,2,176.51,13.5,4.0
2017-01-01,CE,health_beauty,1,149.9,14.0,4.0
2017-01-01,CE,telephony,1,54.9,10.0,4.0
2017-01-01,CE,watches_gifts,1,305.44,13.0,5.0
2017-01-01,DF,cool_stuff,2,947.95,16.0,5.0
2017-01-01,DF,fashion_bags_accessories,1,83.07,7.0,5.0
2017-01-01,DF,fashion_underwear_beach,1,102.15,16.0,1.0
2017-01-01,DF,furniture_decor,2,283.49,65.7,1.67
2017-01-01,DF,health_beauty,2,316.87,18.5,3.0
2017-01-01,DF,sports_leisure,4,348.67,12.8,4.5
2017-01-01,DF,telephony,1,22.55,11.0,1.0
2017-01-01,ES,computers_accessories,1,35.42,7.0,4.0
2017-01-01,ES,consoles_games,1,29.42,41.0,1.0
2017-01-01,ES,cool_stuff,1,203.73,6.0,5.0
2017-01-01,ES,furniture_decor,2,150.15,11.5,5.0
2017-01-01,ES,health_beauty,2,418.07,17.5,4.0
2017-01-01,ES,pet_shop,1,123.04,29.0,4.0
2017-01-01,ES,toys,1,50.95,8.0,4.0
2017-01-01,GO,(unknown),1,370.68,13.0,5.0
2017-01-01,GO,auto,1,135.3,11.0,1.0
2017-01-01,GO,baby,1,53.0,12.0,5.0
2017-01-01,GO,computers_accessories,2,402.21,23.7,5.0
2017-01-01,GO,cool_stuff,3,447.64,12.0,3.33
2017-01-01,GO,fixed_telephony,2,176.77,11.0,5.0
2017-01-01,GO,furniture_living_room,1,259.99,10.0,5.0
2017-01-01,GO,garden_tools,1,783.0,15.0,5.0
2017-01-01,GO,health_beauty,2,415.96,10.5,5.0
2017-01-01,GO,housewares,2,193.11,17.0,4.5
2017-01-01,GO,sports_leisure,1,187.68,9.0,5.0
2017-01-01,GO,watches_gifts,1,1326.79,11.0,4.0
2017-01-01,MA,auto,1,74.11,14.0,5.0
2017-01-01,MA,computers_accessories,1,38.0,13.0,5.0
2017-01-01,MA,furniture_decor,1,77.52,19.0,4.0
2017-01-01,MA,housewares,1,90.61,71.0,1.0
2017-01-01,MA,perfumery,1,336.56,19.0,5.0
2017-01-01,MA,sports_leisure,1,99.67,14.0,5.0
2017-01-01,MG,(unknown),1,194.0,8.0,5.0
2017-01-01,MG,auto,4,1206.79,9.3,4.75
2017-01-01,MG,baby,6,935.76,9.1,4.75
2017-01-01,MG,bed_bath_table,6,727.51,9.9,5.0
2017-01-01,MG,computers_accessories,3,278.61,5.7,4.33
2017-01-01,MG,consoles_games,4,629.22,19.0,4.8
2017-01-01,MG,cool_stuff,5,747.92,6.1,4.88
2017-01-01,MG,fashion_bags_accessories,3,302.42,7.0,3.25
2017-01-01,MG,fixed_telephony,1,25.51,17.0,
2017-01-01,MG,furniture_decor,20,2841.16,11.0,4.0
2017-01-01,MG,garden_tools,9,2476.98,11.4,3.11
2017-01-01,MG,health_beauty,11,1810.3,11.5,4.64
2017-01-01,MG,housewares,1,78.0,13.0,3.0
2017-01-01,MG,luggage_accessories,2,323.79,8.0,5.0
2017-01-01,MG,office_furniture,1,278.07,13.0,2.0
2017-01-01,MG,perfumery,4,734.72,14.2,5.0
2017-01-01,MG,small_appliances,2,616.72,14.0,5.0
2017-01-01,MG,sports_leisure,2,1039.15,14.0,5.0
2017-01-01,MG,stationery,2,835.69,18.2,5.0
2017-01-01,MG,telephony,4,224.38,9.6,4.14
2017-01-01,MG,toys,9,1517.47,9.4,4.22
2017-01-01,MG,watches_gifts,2,348.56,7.5,4.5
2017-01-01,MS,pet_shop,1,170.36,12.0,5.0
2017-01-01,MT,cool_stuff,1,476.34,12.0,3.0
2017-01-01,MT,fashion_bags_accessories,1,65.36,12.0,5.0
2017-01-01,MT,furniture_living_room,1,234.59,19.0,5.0
2017-01-01,MT,garden_tools,1,343.88,17.0,1.0
2017-01-01,MT,health_beauty,1,121.62,12.0,1.0
2017-01-01,MT,sports_leisure,1,317.01,14.0,1.0
2017-01-01,MT,telephony,1,36.99,19.0,3.0
2017-01-01,MT,toys,2,327.0,19.5,5.0
2017-01-01,PA,bed_bath_table,1,145.9,16.0,1.0
2017-01-01,PA,consoles_games,1,69.45,14.0,5.0
2017-01-01,PA,cool_stuff,1,139.99,10.0,5.0
2017-01-01,PA,fashion_bags_accessories,1,44.74,15.0,5.0
2017-01-01,PA,fashion_male_clothing,1,159.11,19.0,5.0
2017-01-01,PA,furniture_decor,1,84.81,27.0,5.0
2017-01-01,PA,garden_tools,1,56.6,17.0,4.0
2017-01-01,PA,market_place,1,87.83,11.0,4.0
2017-01-01,PA,toys,1,328.35,13.0,5.0
2017-01-01,PA,watches_gifts,1,406.14,10.0,5.0
2017-01-01,PB,furniture_decor,1,84.52,10.0,5.0
2017-01-01,PB,health_beauty,1,378.61,13.0,4.0
2017-01-01,PE,baby,1,195.44,13.0,5.0
2017-01-01,PE,consoles_games,1,240.89,43.0,1.0
2017-01-01,PE,cool_stuff,1,186.49,9.0,5.0
2017-01-01,PE,electronics,1,86.9,23.0,4.0
2017-01-01,PE,furniture_decor,1,169.9,19.0,5.0
2017-01-01,PE,health_beauty,1,378.61,16.0,
2017-01-01,PE,sports_leisure,2,833.87,26.0,4.5
2017-01-01,PE,telephony,1,59.83,14.0,5.0
2017-01-01,PI,agro_industry_and_commerce,1,46.34,9.0,5.0
2017-01-01,PI,baby,1,710.0,19.0,5.0
2017-01-01,PI,consoles_games,1,221.85,18.0,5.0
2017-01-01,PI,furniture_decor,1,69.94,22.0,3.0
2017-01-01,PI,health_beauty,2,266.16,11.5,5.0
2017-01-01,PI,sports_leisure,1,139.69,15.0,5.0
2017-01-01,PR,auto,5,737.8,7.7,2.83
2017-01-01,PR,baby,4,460.23,11.0,5.0
2017-01-01,PR,bed_bath_table,3,255.44,16.3,4.67
2017-01-01,PR,computers_accessories,3,166.66,8.3,3.67
2017-01-01,PR,consoles_games,1,327.9,4.0,5.0
2017-01-01,PR,cool_stuff,1,846.52,18.0,1.0
2017-01-01,PR,dvds_blu_ray,1,47.8,14.0,5.0
2017-01-01,PR,electronics,1,44.02,63.0,1.0
2017-01-01,PR,fashion_bags_accessories,10,244.48,10.3,4.9
2017-01-01,PR,furniture_bedroom,7,124.34,11.6,5.0
2017-01-01,PR,furniture_decor,3,349.54,20.3,3.33
2017-01-01,PR,garden_tools,2,605.55,8.0,4.5
2017-01-01,PR,health_beauty,5,638.47,10.3,3.67
2017-01-01,PR,home_appliances_2,1,49.98,15.0,5.0
2017-01-01,PR,music,2,37.24,11.5,5.0
2017-01-01,PR,pet_shop,6,102.72,10.5,5.0
2017-01-01,PR,small_appliances,1,117.27,6.0,5.0
2017-01-01,PR,sports_leisure,3,331.58,9.3,5.0
2017-01-01,PR,stationery,1,19.62,11.0,5.0
2017-01-01,PR,toys,1,17.62,11.0,5.0
2017-01-01,PR,watches_gifts,1,460.22,8.0,4.0
2017-01-01,RJ,(unknown),1,108.0,4.0,4.0
2017-01-01,RJ,air_conditioning,1,207.0,11.0,3.0
2017-01-01,RJ,auto,2,98.03,15.0,2.5
2017-01-01,RJ,baby,3,457.35,13.3,5.0
2017-01-01,RJ,bed_bath_table,9,823.8,14.8,4.18
2017-01-01,RJ,computers_accessories,1,113.86,7.0,5.0
2017-01-01,RJ,consoles_games,1,124.84,20.0,4.0
2017-01-01,RJ,cool_stuff,2,243.35,9.8,2.0
2017-01-01,RJ,electronics,2,128.01,16.5,2.0
2017-01-01,RJ,fashio_female_clothing,1,69.45,19.0,5.0
2017-01-01,RJ,fashion_bags_accessories,3,180.12,26.8,4.0
2017-01-01,RJ,fashion_underwear_beach,1,69.0,10.0,5.0
2017-01-01,RJ,fixed_telephony,2,50.61,7.5,4.5
2017-01-01,RJ,furniture_decor,17,2595.0,16.2,4.05
2017-01-01,RJ,furniture_living_room,4,675.67,8.4,4.6
2017-01-01,RJ,garden_tools,6,1382.55,13.1,3.71
2017-01-01,RJ,health_beauty,7,770.49,18.7,4.43
2017-01-01,RJ,home_appliances_2,1,227.9,16.0,
2017-01-01,RJ,housewares,1,383.82,12.0,5.0
2017-01-01,RJ,luggage_accessories,1,102.69,43.0,4.0
2017-01-01,RJ,office_furniture,1,224.98,18.0,1.0
2017-01-01,RJ,perfumery,5,1065.32,2.4,5.0
2017-01-01,RJ,small_appliances,1,53.46,18.0,4.0
2017-01-01,RJ,sports_leisure,7,1118.64,11.1,3.86
2017-01-01,RJ,telephony,2,205.03,11.7,4.33
2017-01-01,RJ,toys,6,571.84,9.8,4.33
2017-01-01,RJ,watches_gifts,3,2207.27,28.7,2.33
2017-01-01,RN,baby,1,182.64,7.0,5.0
2017-01-01,RN,furniture_decor,1,70.51,12.0,4.0
2017-01-01,RN,health_beauty,2,856.99,11.0,5.0
2017-01-01,RN,toys,1,157.99,10.0,5.0
2017-01-01,RO,cool_stuff,1,491.36,21.0,3.0
2017-01-01,RO,perfumery,1,125.09,45.0,2.0
2017-01-01,RO,security_and_services,1,209.06,19.0,4.0
2017-01-01,RS,(unknown),1,71.8,17.0,5.0
2017-01-01,RS,auto,3,401.95,15.0,3.0
2017-01-01,RS,baby,3,2708.05,8.3,4.67
2017-01-01,RS,bed_bath_table,2,271.05,28.0,2.0
2017-01-01,RS,computers,1,2217.99,22.0,4.0
2017-01-01,RS,computers_accessories,2,2064.7,15.0,5.0
2017-01-01,RS,cool_stuff,1,137.67,8.0,5.0
2017-01-01,RS,electronics,1,55.11,8.0,5.0
2017-01-01,RS,fashion_bags_accessories,1,75.73,11.0,5.0
2017-01-01,RS,fixed_telephony,4,261.62,11.4,4.5
2017-01-01,RS,furniture_decor,11,1227.18,11.8,3.38
2017-01-01,RS,garden_tools,3,459.76,10.8,5.0
2017-01-01,RS,health_beauty,8,1691.97,13.4,4.38
2017-01-01,RS,housewares,1,179.83,13.0,5.0
2017-01-01,RS,perfumery,3,726.83,16.0,5.0
2017-01-01,RS,sports_leisure,5,938.76,11.3,5.0
2017-01-01,RS,telephony,1,59.99,3.0,5.0
2017-01-01,RS,toys,1,84.99,26.0,5.0
2017-01-01,SC,(unknown),1,57.96,9.0,3.0
2017-01-01,SC,auto,2,274.89,15.0,4.0
2017-01-01,SC,baby,1,237.99,21.0,3.0
2017-01-01,SC,bed_bath_table,2,178.54,15.5,4.5
2017-01-01,SC,consoles_games,1,239.64,14.0,5.0
2017-01-01,SC,cool_stuff,2,942.45,10.0,2.33
2017-01-01,SC,fashion_bags_accessories,2,262.45,10.7,5.0
2017-01-01,SC,furniture_decor,4,310.29,47.6,4.0
2017-01-01,SC,garden_tools,1,256.79,9.0,5.0
2017-01-01,SC,health_beauty,1,45.52,13.0,5.0
2017-01-01,SC,home_appliances_2,2,1040.54,18.0,4.0
2017-01-01,SC,housewares,2,704.05,8.0,5.0
2017-01-01,SC,perfumery,2,197.96,14.7,5.0
2017-01-01,SC,sports_leisure,3,806.54,15.3,4.67
2017-01-01,SE,bed_bath_table,1,88.29,10.0,5.0
2017-01-01,SE,market_place,1,45.4,14.0,4.0
2017-01-01,SE,perfumery,1,80.77,14.0,5.0
2017-01-01,SE,sports_leisure,1,167.32,15.0,5.0
2017-01-01,SP,(unknown),5,996.29,10.8,3.2
2017-01-01,SP,agro_industry_and_commerce,1,61.42,8.0,4.0
2017-01-01,SP,air_conditioning,2,531.36,6.7,3.67
2017-01-01,SP,auto,8,2343.41,7.5,4.36
2017-01-01,SP,baby,10,1001.48,12.9,4.58
2017-01-01,SP,bed_bath_table,16,1639.54,11.3,4.56
2017-01-01,SP,books_general_interest,2,271.55,8.5,5.0
2017-01-01,SP,computers_accessories,10,1227.34,9.3,4.13
2017-01-01,SP,consoles_games,8,3028.52,9.2,5.0
2017-01-01,SP,cool_stuff,8,1548.62,14.1,4.0
2017-01-01,SP,electronics,6,458.39,11.7,4.67
2017-01-01,SP,fashio_female_clothing,1,33.36,15.0,3.0
2017-01-01,SP,fashion_bags_accessories,6,659.08,8.7,4.0
2017-01-01,SP,fashion_shoes,1,49.01,8.0,5.0
2017-01-01,SP,fixed_telephony,10,455.05,8.5,4.0
2017-01-01,SP,food,2,78.82,12.5,5.0
2017-01-01,SP,furniture_bedroom,1,24.42,7.0,5.0
2017-01-01,SP,furniture_decor,61,7051.34,9.3,3.83
2017-01-01,SP,furniture_living_room,2,348.97,9.7,5.0
2017-01-01,SP,garden_tools,9,1671.43,10.1,3.89
2017-01-01,SP,health_beauty,28,3515.34,10.0,4.03
2017-01-01,SP,home_appliances_2,2,713.28,11.0,5.0
2017-01-01,SP,home_comfort_2,2,95.57,8.0,4.5
2017-01-01,SP,housewares,12,1522.38,7.2,4.64
2017-01-01,SP,luggage_accessories,1,138.9,8.0,5.0
2017-01-01,SP,market_place,3,371.13,7.7,4.33
2017-01-01,SP,musical_instruments,1,357.74,13.0,4.0
2017-01-01,SP,office_furniture,3,701.13,12.8,3.6
2017-01-01,SP,perfumery,9,1780.92,12.1,4.67
2017-01-01,SP,pet_shop,2,349.55,12.3,1.67
2017-01-01,SP,small_appliances,2,1000.8,18.5,4.5
2017-01-01,SP,sports_leisure,25,4827.76,15.6,4.0
2017-01-01,SP,stationery,4,899.3,15.5,4.25
2017-01-01,SP,telephony,5,170.18,9.4,4.8
2017-01-01,SP,toys,15,1658.39,8.2,4.4
2017-01-01,SP,watches_gifts,2,3256.41,3.5,5.0
2017-01-01,TO,health_beauty,1,374.28,10.0,5.0
2017-01-01,TO,toys,1,302.58,17.0,4.0
2017-02-01,AC,computers_accessories,2,184.78,29.3,5.0
2017-02-01,AC,health_beauty,1,412.62,20.0,5.0
2017-02-01,AL,auto,1,126.71,20.0,4.0
2017-02-01,AL,cool_stuff,1,142.33,27.0,5.0
2017-02-01,AL,furniture_decor,3,495.76,28.7,5.0
2017-02-01,AL,health_beauty,3,998.71,17.7,5.0
2017-02-01,AL,market_place,1,50.7,30.0,5.0
2017-02-01,AL,stationery,1,111.01,12.0,4.0
2017-02-01,AL,telephony,2,1042.65,59.5,2.0
2017-02-01,AM,bed_bath_table,2,279.85,12.5,5.0
2017-02-01,AM,consoles_games,1,370.29,27.0,4.0
2017-02-01,AM,garden_tools,1,59.35,11.0,5.0
2017-02-01,AM,housewares,1,179.3,27.0,5.0
2017-02-01,AM,pet_shop,1,135.16,12.0,5.0
2017-02-01,AM,telephony,2,98.59,16.5,5.0
2017-02-01,AP,fixed_telephony,1,324.15,16.0,4.0
2017-02-01,AP,health_beauty,1,383.05,19.0,5.0
2017-02-01,BA,(unknown),1,239.95,24.0,5.0
2017-02-01,BA,air_conditioning,2,436.52,26.5,1.0
2017-02-01,BA,auto,4,591.56,20.0,5.0
2017-02-01,BA,baby,1,208.16,21.0,4.0
2017-02-01,BA,bed_bath_table,4,507.88,24.3,5.0
2017-02-01,BA,books_general_interest,1,142.89,47.0,5.0
2017-02-01,BA,computers_accessories,2,215.97,8.0,4.5
2017-02-01,BA,cool_stuff,3,229.23,13.7,4.33
2017-02-01,BA,electronics,1,95.98,17.0,2.0
2017-02-01,BA,fashion_bags_accessories,1,55.75,28.0,5.0
2017-02-01,BA,food,2,214.15,17.0,4.5
2017-02-01,BA,furniture_decor,5,429.57,19.2,4.2
2017-02-01,BA,furniture_living_room,1,328.82,13.0,2.0
2017-02-01,BA,garden_tools,4,659.52,25.8,4.2
2017-02-01,BA,health_beauty,5,668.84,16.2,3.4
2017-02-01,BA,housewares,1,69.9,29.0,3.0
2017-02-01,BA,luggage_accessories,1,72.71,14.0,3.0
2017-02-01,BA,office_furniture,2,371.89,25.5,3.0
2017-02-01,BA,perfumery,2,528.16,17.0,4.0
2017-02-01,BA,sports_leisure,5,544.6,13.2,3.4
2017-02-01,BA,stationery,3,640.75,53.3,4.67
2017-02-01,BA,tablets_printing_image,2,240.28,15.0,4.5
2017-02-01,BA,telephony,3,521.12,28.5,2.5
2017-02-01,BA,toys,1,141.29,15.0,5.0
2017-02-01,BA,watches_gifts,1,361.98,8.0,5.0
2017-02-01,CE,auto,1,98.44,8.0,5.0
2017-02-01,CE,books_general_interest,1,145.01,34.0,5.0
2017-02-01,CE,consoles_games,1,720.98,34.0,1.0
2017-02-01,CE,cool_stuff,1,106.81,19.0,5.0
2017-02-01,CE,food,1,167.1,8.0,5.0
2017-02-01,CE,furniture_decor,2,405.16,34.0,4.0
2017-02-01,CE,health_beauty,1,48.25,7.0,5.0
2017-02-01,CE,luggage_accessories,1,76.74,14.0,5.0
2017-02-01,CE,market_place,1,87.83,29.0,4.0
2017-02-01,CE,office_furniture,1,226.96,23.0,4.0
2017-02-01,CE,sports_leisure,1,337.42,16.0,5.0
2017-02-01,CE,telephony,1,62.83,19.0,5.0
2017-02-01,DF,auto,2,394.87,11.5,5.0
2017-02-01,DF,bed_bath_table,2,207.16,18.3,5.0
2017-02-01,DF,computers,1,3602.47,8.0,5.0
2017-02-01,DF,computers_accessories,1,3736.22,12.0,4.0
2017-02-01,DF,consoles_games,1,115.9,16.0,5.0
2017-02-01,DF,cool_stuff,3,310.54,9.0,4.33
2017-02-01,DF,fashion_bags_accessories,1,176.72,7.0,4.0
2017-02-01,DF,health_beauty,3,406.05,13.0,5.0
2017-02-01,DF,luggage_accessories,1,124.43,19.0,4.0
2017-02-01,DF,small_appliances,2,856.97,8.0,4.5
2017-02-01,DF,sports_leisure,2,229.78,14.0,4.0
2017-02-01,DF,toys,2,205.49,8.5,5.0
2017-02-01,ES,(unknown),2,180.2,13.5,4.5
2017-02-01,ES,air_conditioning,2,423.02,10.0,1.0
2017-02-01,ES,auto,1,245.68,210.0,
2017-02-01,ES,baby,1,195.42,6.0,5.0
2017-02-01,ES,bed_bath_table,1,118.88,60.0,1.0
2017-02-01,ES,computers_accessories,3,520.92,13.0,4.8
2017-02-01,ES,fashio_female_clothing,1,131.51,19.0,1.0
2017-02-01,ES,fixed_telephony,1,31.05,11.0,3.0
2017-02-01,ES,furniture_decor,3,510.66,13.2,2.6
2017-02-01,ES,housewares,2,268.39,14.0,5.0
2017-02-01,ES,office_furniture,2,367.77,15.0,3.0
2017-02-01,ES,perfumery,1,81.14,12.0,4.0
2017-02-01,ES,sports_leisure,5,831.74,15.3,4.33
2017-02-01,ES,stationery,1,109.73,9.0,5.0
2017-02-01,ES,telephony,1,49.04,15.0,5.0
2017-02-01,ES,toys,2,168.4,11.0,5.0
