borrower_id,age,revolving_utilization,late_30_59_days,late_60_89_days,late_90_plus_days,debt_ratio,monthly_income,open_credit_lines,real_estate_loans,dependents,income_missing,predicted_risk,risk_band,serious_delinquency,actual_outcome
52194,38,0.73,3,0,0,0.152,32500.0,25,2,1.0,0,0.219,20-30%,0,Repaid
26805,50,0.12,0,0,0,10.0,5400.0,9,1,0.0,1,0.0218,2-5%,0,Repaid
17219,85,0.107,0,0,0,10.0,5400.0,3,0,0.0,1,0.0093,0-2%,0,Repaid
10664,73,0.0,0,0,0,0.138,2800.0,4,1,0.0,0,0.0123,0-2%,0,Repaid
133885,71,0.045,0,0,0,10.0,5400.0,6,0,0.0,1,0.0114,0-2%,0,Repaid
146420,54,0.0,0,0,0,0.157,7076.0,5,1,0.0,0,0.0153,0-2%,0,Repaid
54515,74,1.296,0,0,0,1.164,8100.0,11,6,0.0,0,0.1763,15-20%,1,Defaulted
106660,55,0.072,0,0,0,0.444,6668.0,11,2,3.0,0,0.026,2-5%,0,Repaid
65284,90,0.117,0,0,0,0.007,3332.0,5,0,0.0,0,0.0107,0-2%,0,Repaid
46082,68,0.511,0,0,0,0.524,9518.0,23,2,0.0,0,0.0517,5-8%,0,Repaid
97609,54,0.106,0,0,0,0.111,13243.0,4,1,0.0,0,0.0152,0-2%,0,Repaid
82163,58,0.386,0,0,0,10.0,5400.0,6,0,0.0,1,0.026,2-5%,0,Repaid
134093,65,0.039,0,0,0,0.006,16250.0,7,0,1.0,0,0.0109,0-2%,0,Repaid
115118,48,1.0,1,0,0,10.0,5400.0,0,0,0.0,1,0.1113,10-12%,0,Repaid
121889,80,0.002,1,0,0,0.407,6364.0,19,2,0.0,0,0.0254,2-5%,0,Repaid
29681,64,0.03,0,0,0,0.016,2500.0,7,0,0.0,0,0.0152,0-2%,0,Repaid
25427,31,0.303,0,0,0,10.0,5400.0,8,0,0.0,1,0.0366,2-5%,0,Repaid
125417,40,0.061,1,0,0,0.855,4475.0,9,2,4.0,0,0.0515,5-8%,1,Defaulted
106741,30,0.206,0,0,0,0.124,5000.0,7,0,1.0,0,0.0354,2-5%,0,Repaid
149041,45,0.018,0,0,0,0.154,6271.0,9,1,0.0,0,0.021,2-5%,0,Repaid
94580,26,0.561,0,0,0,5.0,5400.0,1,0,0.0,1,0.0503,5-8%,0,Repaid
37363,61,0.597,0,0,0,0.578,4086.0,9,1,1.0,0,0.0508,5-8%,0,Repaid
23380,32,0.0,0,0,0,3.128,1000.0,3,2,2.0,0,0.0296,2-5%,0,Repaid
26773,62,0.016,0,0,0,0.004,7100.0,5,0,0.0,0,0.0127,0-2%,0,Repaid
10904,62,0.317,0,0,0,0.886,5690.0,25,2,1.0,0,0.0498,2-5%,0,Repaid
17340,77,0.259,0,0,0,0.258,7000.0,15,1,0.0,0,0.0225,2-5%,0,Repaid
134192,51,0.018,0,0,0,10.0,5400.0,7,2,0.0,1,0.0183,0-2%,0,Repaid
67764,57,0.081,0,0,0,10.0,5400.0,7,1,0.0,1,0.0171,0-2%,0,Repaid
123494,34,1.0,1,1,3,0.118,5409.0,2,0,0.0,0,0.6502,50%+,1,Defaulted
32886,51,1.868,2,0,1,10.0,5400.0,2,1,0.0,1,0.6627,50%+,1,Defaulted
2561,28,0.494,1,0,0,0.551,700.0,9,0,0.0,0,0.101,10-12%,1,Defaulted
71989,76,0.602,0,0,0,0.097,36000.0,12,2,0.0,0,0.0189,0-2%,0,Repaid
95637,41,0.143,0,0,0,10.0,5400.0,7,0,2.0,1,0.0252,2-5%,0,Repaid
144087,51,0.517,0,0,0,0.32,10500.0,9,1,0.0,0,0.0414,2-5%,0,Repaid
119762,33,0.775,0,1,1,0.225,3500.0,5,0,0.0,0,0.208,20-30%,1,Defaulted
140431,70,0.027,0,0,0,0.456,2100.0,8,1,0.0,0,0.0155,0-2%,0,Repaid
92876,74,0.96,3,0,0,0.189,4800.0,8,0,0.0,0,0.2009,20-30%,0,Repaid
17750,53,0.0,0,0,0,0.416,5398.0,13,2,1.0,0,0.0234,2-5%,0,Repaid
148703,49,0.015,0,0,0,10.0,5400.0,4,1,0.0,1,0.0159,0-2%,0,Repaid
57082,32,0.915,2,1,2,0.415,3740.0,6,1,2.0,0,0.6543,50%+,1,Defaulted
85356,66,0.025,0,0,0,0.127,3952.0,8,1,0.0,0,0.0157,0-2%,0,Repaid
6135,49,0.041,0,0,0,10.0,5400.0,5,1,0.0,1,0.0171,0-2%,0,Repaid
117276,67,0.047,0,0,0,10.0,5400.0,3,0,0.0,1,0.0112,0-2%,0,Repaid
46847,68,0.457,4,0,1,0.561,8276.0,18,1,0.0,0,0.2975,20-30%,0,Repaid
5741,58,0.73,0,0,0,0.352,7000.0,8,2,1.0,0,0.0652,5-8%,0,Repaid
72007,43,0.0,0,0,0,1.014,3797.0,6,4,0.0,0,0.0265,2-5%,0,Repaid
91486,50,0.006,0,0,0,10.0,1.0,8,1,0.0,0,0.0228,2-5%,0,Repaid
2414,65,0.656,0,0,0,0.473,5083.0,13,1,0.0,0,0.0548,5-8%,0,Repaid
28402,71,0.085,1,0,0,10.0,5400.0,7,2,0.0,1,0.0227,2-5%,0,Repaid
27750,54,0.082,0,0,0,0.312,11333.0,19,1,2.0,0,0.0261,2-5%,0,Repaid
109323,37,0.661,0,0,0,0.277,2166.0,3,0,0.0,0,0.0646,5-8%,0,Repaid
43845,32,0.857,0,0,0,0.054,7100.0,3,0,2.0,0,0.0937,8-10%,1,Defaulted
11359,52,0.129,0,0,0,10.0,5400.0,5,1,0.0,1,0.0191,0-2%,0,Repaid
41562,63,1.0,0,0,1,0.161,2833.0,1,0,0.0,0,0.1278,12-15%,1,Defaulted
13926,67,0.026,0,0,0,10.0,5400.0,15,2,0.0,1,0.018,0-2%,0,Repaid
20894,22,0.279,0,0,0,0.007,2745.0,2,0,0.0,0,0.0401,2-5%,0,Repaid
80993,48,0.021,0,0,0,0.107,8500.0,15,0,1.0,0,0.0218,2-5%,0,Repaid
144085,29,0.158,0,0,0,0.354,1713.0,15,0,0.0,0,0.0431,2-5%,1,Defaulted
89947,60,0.034,1,0,0,10.0,5400.0,10,1,0.0,1,0.0248,2-5%,0,Repaid
61680,37,0.716,0,0,0,0.584,2885.0,7,1,1.0,0,0.0879,8-10%,0,Repaid
57500,72,0.818,0,0,0,0.527,1220.0,5,0,0.0,0,0.0533,5-8%,0,Repaid
133900,52,0.104,0,0,0,0.198,13500.0,13,2,1.0,0,0.023,2-5%,0,Repaid
33551,57,0.416,1,0,0,0.341,14874.0,19,1,3.0,0,0.0643,5-8%,1,Defaulted
130082,30,0.978,1,0,0,10.0,5400.0,7,0,0.0,1,0.166,15-20%,1,Defaulted
36096,39,0.001,0,0,0,0.054,6121.0,11,0,3.0,0,0.0255,2-5%,0,Repaid
25067,50,0.235,0,0,0,0.559,8200.0,12,3,2.0,0,0.0384,2-5%,0,Repaid
128988,45,0.084,0,0,0,3.04,600.0,8,2,3.0,0,0.0341,2-5%,0,Repaid
1194,43,0.027,0,0,0,0.257,8050.0,6,1,1.0,0,0.0202,2-5%,0,Repaid
120892,43,0.882,1,1,3,0.071,7680.0,6,0,4.0,0,0.625,50%+,0,Repaid
74469,32,0.925,0,0,0,0.348,14000.0,13,2,2.0,0,0.133,12-15%,0,Repaid
25887,35,0.753,0,0,1,0.465,6500.0,4,1,2.0,0,0.1493,12-15%,1,Defaulted
118298,49,0.027,0,0,0,0.575,1440.0,7,0,3.0,0,0.0231,2-5%,0,Repaid
120309,47,0.006,0,0,0,10.0,5400.0,5,1,2.0,1,0.0183,0-2%,0,Repaid
88619,43,0.67,0,0,0,0.154,4600.0,3,0,0.0,0,0.056,5-8%,0,Repaid
114839,64,0.403,0,0,0,0.292,6666.0,6,1,1.0,0,0.0294,2-5%,0,Repaid
114314,75,0.0,0,0,0,0.323,1000.0,6,0,0.0,0,0.0122,0-2%,0,Repaid
58243,59,0.01,0,0,0,0.062,10964.0,6,1,0.0,0,0.0133,0-2%,0,Repaid
22343,65,0.001,1,0,0,1.342,4000.0,9,5,0.0,0,0.0332,2-5%,0,Repaid
16695,76,0.001,0,0,0,0.153,2800.0,7,0,1.0,0,0.0124,0-2%,0,Repaid
103276,59,0.349,0,0,0,0.075,4395.0,4,0,3.0,0,0.0295,2-5%,0,Repaid
78919,21,1.0,5,5,5,0.0,5400.0,0,0,0.0,1,0.9947,50%+,0,Repaid
632,55,0.659,0,0,0,0.49,5541.0,6,1,0.0,0,0.0523,5-8%,0,Repaid
10389,54,0.0,0,0,0,0.0,5400.0,5,0,0.0,1,0.0129,0-2%,0,Repaid
123661,75,0.017,0,0,0,0.08,5833.0,8,1,0.0,0,0.0127,0-2%,0,Repaid
22389,47,0.826,0,0,0,1.32,4000.0,10,3,2.0,0,0.1168,10-12%,0,Repaid
58979,80,0.031,0,0,0,0.093,10750.0,3,1,1.0,0,0.0095,0-2%,0,Repaid
144951,48,1.014,1,2,0,0.685,4800.0,13,2,2.0,0,0.3824,30-50%,1,Defaulted
4056,90,0.044,0,0,0,10.0,5400.0,4,0,0.0,1,0.0079,0-2%,0,Repaid
138233,65,0.098,0,0,0,0.015,5000.0,1,0,0.0,0,0.0133,0-2%,0,Repaid
94767,90,0.24,0,0,0,10.0,5400.0,2,0,0.0,1,0.0106,0-2%,0,Repaid
4764,62,0.626,0,0,0,0.351,20326.0,7,4,1.0,0,0.0408,2-5%,0,Repaid
144742,46,0.264,0,0,0,0.231,3526.0,7,1,0.0,0,0.0327,2-5%,0,Repaid
48434,51,0.034,0,0,0,0.9,12500.0,11,5,0.0,0,0.0244,2-5%,0,Repaid
2631,36,0.03,0,0,0,0.575,7916.0,7,2,0.0,0,0.0243,2-5%,0,Repaid
33517,75,0.002,0,0,0,0.172,4300.0,7,0,0.0,0,0.0115,0-2%,0,Repaid
61917,34,0.539,0,0,0,0.779,4083.0,8,2,2.0,0,0.0771,5-8%,0,Repaid
22613,47,0.599,1,0,0,0.347,7754.0,10,1,2.0,0,0.0918,8-10%,0,Repaid
139647,81,0.003,0,0,0,10.0,5400.0,8,2,0.0,1,0.0112,0-2%,0,Repaid
63008,44,0.216,0,0,0,0.993,4413.0,11,3,1.0,0,0.042,2-5%,0,Repaid
148208,36,0.534,0,0,0,10.0,5400.0,9,2,0.0,1,0.0612,5-8%,0,Repaid
136991,60,0.654,0,0,0,0.391,6666.0,10,1,1.0,0,0.0546,5-8%,0,Repaid
105416,54,0.077,0,0,0,0.326,4633.0,12,1,0.0,0,0.0231,2-5%,0,Repaid
51079,49,0.071,1,0,1,0.524,3083.0,2,1,0.0,0,0.0541,5-8%,0,Repaid
27667,54,0.349,1,0,0,0.332,9900.0,11,1,2.0,0,0.0523,5-8%,0,Repaid
75641,37,1.426,1,0,1,1.066,2800.0,5,1,0.0,0,0.4813,30-50%,0,Repaid
87949,41,0.321,0,0,0,0.624,5000.0,8,1,0.0,0,0.0387,2-5%,0,Repaid
78247,50,0.197,0,0,0,0.507,14705.0,18,2,2.0,0,0.0329,2-5%,0,Repaid
120745,63,0.055,1,0,0,0.197,3900.0,12,0,0.0,0,0.0273,2-5%,0,Repaid
133901,55,0.654,1,1,0,10.0,5400.0,8,2,2.0,1,0.1278,12-15%,0,Repaid
57922,58,0.017,0,0,0,0.002,2500.0,2,0,0.0,0,0.0141,0-2%,0,Repaid
131536,63,0.104,0,0,0,0.331,500.0,10,0,0.0,0,0.0204,2-5%,0,Repaid
136023,43,0.837,0,0,0,0.517,9332.0,17,2,3.0,0,0.1282,12-15%,0,Repaid
127315,55,0.0,0,0,0,0.208,9200.0,7,1,1.0,0,0.0158,0-2%,1,Defaulted
30231,42,1.0,3,0,0,0.092,9610.0,5,0,2.0,0,0.2886,20-30%,0,Repaid
96969,45,0.282,0,0,0,0.437,16000.0,11,2,0.0,0,0.0296,2-5%,0,Repaid
96650,38,0.1,0,0,0,0.264,12300.0,15,1,2.0,0,0.0302,2-5%,0,Repaid
60259,65,0.966,0,0,0,10.0,5400.0,2,0,0.0,1,0.0579,5-8%,0,Repaid
38143,86,0.05,0,0,0,0.051,2500.0,13,0,0.0,0,0.0131,0-2%,0,Repaid
7972,48,0.008,0,0,0,0.262,13000.0,8,1,1.0,0,0.0166,0-2%,0,Repaid
148821,53,0.212,0,0,0,0.034,6400.0,9,1,0.0,0,0.026,2-5%,0,Repaid
13102,35,0.312,1,0,0,1.534,2105.0,11,1,2.0,0,0.0812,8-10%,1,Defaulted
38415,50,0.848,0,0,0,0.26,10684.0,6,0,0.0,0,0.0632,5-8%,0,Repaid
108360,67,0.002,0,0,0,0.144,3476.0,5,0,0.0,0,0.0126,0-2%,0,Repaid
10564,31,0.607,2,1,0,1.173,2062.0,12,2,0.0,0,0.2738,20-30%,0,Repaid
143600,60,0.002,0,0,0,0.675,4550.0,16,3,3.0,0,0.0281,2-5%,0,Repaid
144247,74,0.634,0,0,0,0.626,1815.0,4,1,0.0,0,0.0389,2-5%,0,Repaid
46753,50,0.401,0,0,0,0.224,6083.0,7,1,2.0,0,0.0402,2-5%,0,Repaid
80001,29,0.0,1,0,0,0.485,3530.0,3,1,0.0,0,0.0362,2-5%,0,Repaid
38387,62,0.357,0,0,0,1.776,1500.0,10,2,0.0,0,0.0375,2-5%,0,Repaid
16159,62,0.849,1,1,2,0.056,3135.0,9,0,0.0,0,0.3807,30-50%,1,Defaulted
111341,55,0.011,0,0,0,0.973,5000.0,7,2,0.0,0,0.0188,0-2%,0,Repaid
79491,58,0.059,0,0,0,10.0,5400.0,1,0,0.0,1,0.0125,0-2%,0,Repaid
10976,60,0.042,0,0,0,1.03,2219.0,9,1,0.0,0,0.0193,0-2%,0,Repaid
43116,61,0.136,0,0,0,0.331,8081.0,9,1,0.0,0,0.0191,0-2%,0,Repaid
69630,69,0.0,0,0,0,0.001,10500.0,10,0,0.0,0,0.0116,0-2%,0,Repaid
38442,32,0.295,0,0,0,0.503,3174.0,5,1,0.0,0,0.0412,2-5%,0,Repaid
47846,63,0.068,0,0,0,0.014,2200.0,3,0,0.0,0,0.0149,0-2%,0,Repaid
6076,51,0.07,0,0,0,10.0,5400.0,5,1,1.0,1,0.0183,0-2%,0,Repaid
125817,59,0.776,0,0,0,0.575,6310.0,12,2,3.0,0,0.0866,8-10%,0,Repaid
21424,48,0.0,1,0,0,0.0,5400.0,5,0,0.0,1,0.0217,2-5%,0,Repaid
61192,60,0.065,0,0,0,0.123,10500.0,12,1,0.0,0,0.0174,0-2%,0,Repaid
102893,30,0.99,3,0,2,0.041,3200.0,2,0,2.0,0,0.6559,50%+,1,Defaulted
90256,78,0.009,0,0,0,4.0,5400.0,3,0,0.0,1,0.0085,0-2%,0,Repaid
78941,71,0.349,0,0,0,0.383,10500.0,7,2,1.0,0,0.024,2-5%,0,Repaid
122335,57,1.0,5,5,5,0.0,2500.0,0,0,1.0,0,0.9927,50%+,1,Defaulted
69941,61,0.091,0,0,0,10.0,5400.0,8,1,0.0,1,0.0168,0-2%,0,Repaid
64724,47,0.089,0,0,0,0.169,5000.0,4,0,1.0,0,0.02,2-5%,0,Repaid
41189,54,0.369,2,0,0,0.474,13400.0,21,2,1.0,0,0.0994,8-10%,0,Repaid
39565,62,0.04,0,0,0,0.384,2150.0,7,1,1.0,0,0.0185,0-2%,0,Repaid
142926,35,0.935,0,0,0,0.28,3166.0,5,0,1.0,0,0.1135,10-12%,0,Repaid
52950,63,0.117,0,0,0,0.017,9166.0,7,0,1.0,0,0.0158,0-2%,0,Repaid
92422,62,1.0,0,0,1,0.1,3017.0,2,0,1.0,0,0.1383,12-15%,1,Defaulted
60164,46,0.042,0,0,0,4.405,750.0,5,2,3.0,0,0.0287,2-5%,0,Repaid
5293,70,0.011,0,0,0,0.453,4167.0,12,2,0.0,0,0.0174,0-2%,0,Repaid
148569,74,0.026,0,0,0,10.0,5400.0,1,0,0.0,1,0.0091,0-2%,0,Repaid
140630,56,0.69,0,0,1,0.142,6100.0,13,0,0.0,0,0.1077,10-12%,0,Repaid
97554,60,0.0,0,0,0,10.0,5400.0,7,1,0.0,1,0.0141,0-2%,0,Repaid
85490,55,2.0,0,0,0,0.222,38000.0,7,2,0.0,0,0.2253,20-30%,0,Repaid
14761,36,0.318,0,0,0,0.566,10000.0,14,1,0.0,0,0.0431,2-5%,0,Repaid
109828,68,0.076,0,0,0,0.174,9084.0,11,1,4.0,0,0.0192,0-2%,0,Repaid
93534,64,0.133,0,0,0,10.0,5400.0,11,3,0.0,1,0.0222,2-5%,0,Repaid
3070,38,0.119,0,0,0,0.296,1900.0,3,0,1.0,0,0.0259,2-5%,0,Repaid
58711,52,0.0,0,0,0,0.221,13000.0,7,2,7.0,0,0.0219,2-5%,0,Repaid
111301,50,0.209,0,0,0,0.511,6625.0,15,4,1.0,0,0.043,2-5%,0,Repaid
78286,45,0.12,0,0,0,0.193,5040.0,14,0,0.0,0,0.0277,2-5%,0,Repaid
129121,26,1.0,0,0,0,0.275,2500.0,2,0,1.0,0,0.135,12-15%,0,Repaid
139205,85,0.018,0,0,0,8.0,5400.0,2,0,0.0,1,0.0076,0-2%,0,Repaid
53917,46,0.756,0,0,0,0.669,5620.0,10,3,2.0,0,0.1013,10-12%,0,Repaid
20049,39,1.0,0,0,1,0.08,6815.0,1,0,1.0,0,0.1699,15-20%,0,Repaid
63039,81,0.074,1,0,0,10.0,5400.0,9,3,0.0,1,0.0217,2-5%,0,Repaid
99135,57,0.85,0,0,0,0.947,4213.0,18,1,0.0,0,0.1011,10-12%,0,Repaid
113690,76,0.022,0,0,0,0.248,12000.0,9,1,1.0,0,0.0115,0-2%,0,Repaid
90659,46,0.172,0,0,0,0.86,3208.0,21,2,0.0,0,0.0453,2-5%,0,Repaid
117249,63,1.0,0,0,0,0.595,3100.0,4,1,1.0,0,0.0878,8-10%,0,Repaid
111604,45,0.685,0,0,0,0.038,11200.0,4,0,0.0,0,0.048,2-5%,0,Repaid
42952,49,1.011,1,0,0,0.265,5916.0,6,1,3.0,0,0.1705,15-20%,0,Repaid
132767,31,0.693,0,0,0,0.215,5300.0,5,0,0.0,0,0.0728,5-8%,0,Repaid
45677,63,0.005,1,0,0,0.421,13308.0,26,4,0.0,0,0.0399,2-5%,0,Repaid
65531,54,0.878,0,0,0,0.289,6166.0,7,0,0.0,0,0.0723,5-8%,0,Repaid
86158,30,0.677,0,0,0,0.127,4600.0,3,0,1.0,0,0.0726,5-8%,0,Repaid
63663,76,0.204,0,0,0,0.046,3500.0,6,0,0.0,0,0.0162,0-2%,0,Repaid
106374,65,0.098,0,0,0,0.188,3400.0,7,2,0.0,0,0.0195,0-2%,0,Repaid
135550,52,0.764,1,1,0,0.515,4919.0,14,1,0.0,0,0.1723,15-20%,0,Repaid
100145,65,0.001,0,0,0,10.0,5400.0,6,1,0.0,1,0.0126,0-2%,0,Repaid
7544,35,0.441,1,0,0,0.185,6333.0,10,0,0.0,0,0.0738,5-8%,0,Repaid
60586,71,0.293,0,0,0,0.581,2000.0,9,1,0.0,0,0.0255,2-5%,0,Repaid
55270,60,0.026,0,0,0,0.142,14500.0,6,2,1.0,0,0.0139,0-2%,0,Repaid
53655,92,0.008,0,0,0,0.001,8333.0,1,0,0.0,0,0.0066,0-2%,0,Repaid
97820,51,0.352,0,0,0,10.0,5400.0,10,2,0.0,1,0.0361,2-5%,0,Repaid
87759,49,0.919,0,0,0,0.365,7400.0,8,0,2.0,0,0.0914,8-10%,0,Repaid
7988,38,0.038,0,0,0,0.521,4333.0,5,2,2.0,0,0.0275,2-5%,0,Repaid
506,54,1.0,0,1,0,0.228,2372.0,2,0,0.0,0,0.1232,12-15%,1,Defaulted
30359,33,1.0,0,0,0,0.002,4170.0,0,0,1.0,0,0.1111,10-12%,0,Repaid
46688,71,0.002,0,0,0,10.0,5400.0,14,2,0.0,1,0.0157,0-2%,0,Repaid
25848,56,0.452,3,0,0,1.043,3811.0,15,3,1.0,0,0.186,15-20%,0,Repaid
80865,54,0.08,0,0,0,0.276,4583.0,8,1,0.0,0,0.0207,2-5%,0,Repaid
22358,49,0.128,0,0,0,0.492,5233.0,22,4,0.0,0,0.0456,2-5%,0,Repaid
29484,49,0.061,0,0,0,0.442,4000.0,11,2,1.0,0,0.0274,2-5%,0,Repaid
65784,32,0.086,0,0,1,0.416,5700.0,6,1,0.0,0,0.0504,5-8%,0,Repaid
94786,76,0.015,0,0,0,0.099,6250.0,4,1,1.0,0,0.0115,0-2%,0,Repaid
137465,50,1.053,0,0,0,0.278,3236.0,2,0,2.0,0,0.1066,10-12%,0,Repaid
16859,53,0.836,0,0,0,0.349,6815.0,18,1,0.0,0,0.0978,8-10%,0,Repaid
149713,60,0.529,0,0,0,0.148,7500.0,8,1,1.0,0,0.0405,2-5%,0,Repaid
12068,47,0.781,0,0,0,0.451,14943.0,15,3,0.0,0,0.0853,8-10%,0,Repaid
136137,68,0.079,1,0,0,0.331,7053.0,17,1,0.0,0,0.0302,2-5%,0,Repaid
