month,utm_source,utm_campaign,device_type,visitor_type,sessions,sessions_reached_product,sessions_reached_cart,sessions_reached_shipping,sessions_reached_billing,orders,revenue_usd
2012-06-01,(none),(none),mobile,Returning,102,48,10,5,4,1,49.99
2012-06-01,bsearch,brand,desktop,New,7,6,2,1,1,0,NULL
2012-06-01,bsearch,brand,desktop,Returning,17,9,4,3,2,1,49.99
2012-06-01,bsearch,brand,mobile,Returning,1,0,0,0,0,0,NULL
2012-06-01,gsearch,brand,desktop,New,19,11,3,2,2,1,49.99
2012-06-01,gsearch,brand,desktop,Returning,70,52,20,10,10,6,299.94
2012-06-01,gsearch,brand,mobile,New,13,5,0,0,0,0,NULL
2012-06-01,gsearch,brand,mobile,Returning,38,24,4,1,0,0,NULL
2012-06-01,gsearch,nonbrand,desktop,New,2676,1197,402,282,241,106,5298.94
2012-06-01,gsearch,nonbrand,mobile,New,766,222,53,36,27,8,399.92
2012-07-01,(none),(none),desktop,New,62,40,11,8,7,5,249.95
2012-07-01,(none),(none),desktop,Returning,197,138,37,23,22,13,649.87
2012-07-01,(none),(none),mobile,New,36,19,7,4,4,2,99.98
2012-07-01,(none),(none),mobile,Returning,99,46,11,9,8,2,99.98
2012-07-01,bsearch,brand,desktop,New,9,4,3,1,1,1,49.99
2012-07-01,bsearch,brand,desktop,Returning,29,17,2,2,2,1,49.99
2012-07-01,bsearch,brand,mobile,Returning,6,4,2,1,0,0,NULL
2012-07-01,gsearch,brand,desktop,New,24,19,6,5,5,1,49.99
2012-07-01,gsearch,brand,desktop,Returning,58,39,14,11,11,7,349.93
2012-07-01,gsearch,brand,mobile,New,16,9,2,1,1,0,NULL
2012-07-01,gsearch,brand,mobile,Returning,53,24,6,2,1,1,49.99
2012-07-01,gsearch,nonbrand,desktop,New,2771,1359,464,310,270,122,6098.78
2012-07-01,gsearch,nonbrand,mobile,New,885,301,74,45,34,14,699.86
2012-08-01,(none),(none),desktop,New,105,68,25,19,13,8,399.92
2012-08-01,(none),(none),desktop,Returning,220,154,59,53,43,14,699.86
2012-08-01,(none),(none),mobile,New,61,27,4,3,2,1,49.99
2012-08-01,(none),(none),mobile,Returning,129,66,11,6,3,2,99.98
2012-08-01,bsearch,brand,desktop,New,13,9,3,3,3,1,49.99
2012-08-01,bsearch,brand,desktop,Returning,39,23,7,5,4,2,99.98
2012-08-01,bsearch,brand,mobile,New,1,1,0,0,0,0,NULL
2012-08-01,bsearch,brand,mobile,Returning,7,3,2,0,0,0,NULL
2012-08-01,bsearch,nonbrand,desktop,New,576,271,79,47,38,16,799.84
2012-08-01,bsearch,nonbrand,mobile,New,68,15,0,0,0,0,NULL
2012-08-01,gsearch,brand,desktop,New,38,25,8,8,7,5,249.95
2012-08-01,gsearch,brand,desktop,Returning,86,55,25,20,15,4,199.96
2012-08-01,gsearch,brand,mobile,New,26,18,4,1,0,0,NULL
2012-08-01,gsearch,brand,mobile,Returning,53,28,7,1,1,1,49.99
2012-08-01,gsearch,nonbrand,desktop,New,3517,1854,630,426,349,165,8248.35
2012-08-01,gsearch,nonbrand,mobile,New,1159,394,95,58,40,9,449.91
2012-09-01,(none),(none),desktop,New,122,69,25,13,9,2,99.98
2012-09-01,(none),(none),desktop,Returning,263,181,61,45,31,18,899.82
2012-09-01,(none),(none),mobile,New,73,35,5,2,1,1,49.99
2012-09-01,(none),(none),mobile,Returning,158,83,21,11,6,4,199.96
2012-09-01,bsearch,brand,desktop,New,14,9,5,3,3,3,149.97
2012-09-01,bsearch,brand,desktop,Returning,48,29,9,5,5,5,249.95
2012-09-01,bsearch,brand,mobile,New,4,1,0,0,0,0,NULL
2012-09-01,bsearch,brand,mobile,Returning,8,4,1,0,0,0,NULL
2012-09-01,bsearch,nonbrand,desktop,New,1220,550,181,129,113,64,3199.36
2012-09-01,bsearch,nonbrand,mobile,New,142,33,8,7,6,2,99.98
2012-09-01,gsearch,brand,desktop,New,45,30,8,5,5,3,149.97
2012-09-01,gsearch,brand,desktop,Returning,109,68,24,21,20,11,549.89
2012-09-01,gsearch,brand,mobile,New,30,12,3,2,0,0,NULL
2012-09-01,gsearch,brand,mobile,Returning,81,31,11,3,2,2,99.98
2012-09-01,gsearch,nonbrand,desktop,New,3172,1619,529,368,296,155,7748.45
2012-09-01,gsearch,nonbrand,mobile,New,1054,371,94,61,43,17,849.83
2012-10-01,(none),(none),desktop,New,176,106,41,30,26,11,549.89
2012-10-01,(none),(none),desktop,Returning,368,263,94,62,52,25,1249.75
2012-10-01,(none),(none),mobile,New,100,41,9,7,4,1,49.99
2012-10-01,(none),(none),mobile,Returning,224,116,34,25,20,11,549.89
2012-10-01,bsearch,brand,desktop,New,21,14,5,3,2,0,NULL
2012-10-01,bsearch,brand,desktop,Returning,63,44,11,7,5,4,199.96
2012-10-01,bsearch,brand,mobile,New,4,3,0,0,0,0,NULL
2012-10-01,bsearch,brand,mobile,Returning,8,6,1,0,0,0,NULL
2012-10-01,bsearch,nonbrand,desktop,New,1547,741,256,179,143,84,4199.16
2012-10-01,bsearch,nonbrand,mobile,New,142,34,7,4,2,1,49.99
2012-10-01,gsearch,brand,desktop,New,66,46,11,7,5,2,99.98
2012-10-01,gsearch,brand,desktop,Returning,148,105,36,20,15,10,499.90
2012-10-01,gsearch,brand,mobile,New,44,25,7,4,4,0,NULL
2012-10-01,gsearch,brand,mobile,Returning,79,40,10,7,5,3,149.97
2012-10-01,gsearch,nonbrand,desktop,New,3936,1977,617,420,343,201,10047.99
2012-10-01,gsearch,nonbrand,mobile,New,1265,472,120,79,61,18,899.82
2012-11-01,(none),(none),desktop,New,316,197,61,48,44,22,1099.78
2012-11-01,(none),(none),desktop,Returning,406,281,85,49,42,23,1149.77
2012-11-01,(none),(none),mobile,New,195,77,14,10,5,1,49.99
2012-11-01,(none),(none),mobile,Returning,278,140,26,11,10,5,249.95
2012-11-01,bsearch,brand,desktop,New,39,25,4,4,2,2,99.98
2012-11-01,bsearch,brand,desktop,Returning,50,31,12,10,9,3,149.97
2012-11-01,bsearch,brand,mobile,New,6,2,0,0,0,0,NULL
2012-11-01,bsearch,brand,mobile,Returning,3,1,1,0,0,0,NULL
2012-11-01,bsearch,nonbrand,desktop,New,2782,1244,398,290,249,143,7148.57
2012-11-01,bsearch,nonbrand,mobile,New,221,68,14,8,6,2,99.98
2012-11-01,gsearch,brand,desktop,New,112,72,25,18,16,8,399.92
2012-11-01,gsearch,brand,desktop,Returning,159,108,32,22,17,8,399.92
2012-11-01,gsearch,brand,mobile,New,80,33,4,3,2,1,49.99
2012-11-01,gsearch,brand,mobile,Returning,107,53,12,10,8,4,199.96
2012-11-01,gsearch,nonbrand,desktop,New,7007,3656,1208,842,681,354,17696.46
2012-11-01,gsearch,nonbrand,mobile,New,2250,756,194,125,88,42,2099.58
2012-12-01,(none),(none),desktop,New,223,133,51,39,33,20,999.80
2012-12-01,(none),(none),desktop,Returning,628,463,169,113,94,49,2449.51
2012-12-01,(none),(none),mobile,New,133,56,10,6,5,3,149.97
2012-12-01,(none),(none),mobile,Returning,354,182,46,28,23,12,599.88
2012-12-01,bsearch,brand,desktop,New,29,17,9,8,6,4,199.96
2012-12-01,bsearch,brand,desktop,Returning,78,59,19,13,8,3,149.97
2012-12-01,bsearch,brand,mobile,New,5,2,0,0,0,0,NULL
2012-12-01,bsearch,brand,mobile,Returning,13,6,4,4,4,1,49.99
2012-12-01,bsearch,nonbrand,desktop,New,1412,654,238,170,143,78,3899.22
2012-12-01,bsearch,nonbrand,mobile,New,159,43,11,7,7,3,149.97
2012-12-01,gsearch,brand,desktop,New,81,50,19,14,13,8,399.92
2012-12-01,gsearch,brand,desktop,Returning,247,173,57,43,35,22,1099.78
2012-12-01,gsearch,brand,mobile,New,57,31,7,6,6,2,99.98
2012-12-01,gsearch,brand,mobile,Returning,158,78,18,10,5,3,149.97
2012-12-01,gsearch,nonbrand,desktop,New,4947,2555,825,587,508,282,14097.18
2012-12-01,gsearch,nonbrand,mobile,New,1548,510,121,73,51,16,799.84
2013-01-01,(none),(none),desktop,New,127,77,19,14,10,9,469.91
2013-01-01,(none),(none),desktop,Returning,658,470,168,116,97,61,3089.39
2013-01-01,(none),(none),mobile,New,77,27,7,5,4,0,NULL
2013-01-01,(none),(none),mobile,Returning,407,206,62,38,26,14,719.86
2013-01-01,bsearch,brand,desktop,New,15,10,2,1,0,0,NULL
2013-01-01,bsearch,brand,desktop,Returning,85,61,21,14,13,9,459.91
2013-01-01,bsearch,brand,mobile,New,2,0,0,0,0,0,NULL
2013-01-01,bsearch,brand,mobile,Returning,12,9,4,3,3,1,49.99
2013-01-01,bsearch,nonbrand,desktop,New,732,339,118,88,74,51,2619.49
2013-01-01,bsearch,nonbrand,mobile,New,79,29,10,5,4,2,99.98
2013-01-01,gsearch,brand,desktop,New,47,20,11,6,5,4,199.96
2013-01-01,gsearch,brand,desktop,Returning,258,180,64,46,34,21,1089.79
2013-01-01,gsearch,brand,mobile,New,30,14,6,4,2,1,49.99
2013-01-01,gsearch,brand,mobile,Returning,181,96,30,18,11,5,259.95
2013-01-01,gsearch,nonbrand,desktop,New,2795,1537,546,378,309,190,9728.10
2013-01-01,gsearch,nonbrand,mobile,New,896,305,80,46,35,23,1179.77
2013-02-01,(none),(none),desktop,New,183,110,43,28,19,14,719.86
2013-02-01,(none),(none),desktop,Returning,430,301,117,86,71,47,2429.53
2013-02-01,(none),(none),mobile,New,113,49,12,8,7,4,229.96
2013-02-01,(none),(none),mobile,Returning,272,137,40,27,22,15,789.85
2013-02-01,bsearch,brand,desktop,New,27,18,6,3,2,2,99.98
2013-02-01,bsearch,brand,desktop,Returning,50,29,11,6,5,5,249.95
2013-02-01,bsearch,brand,mobile,New,4,0,0,0,0,0,NULL
2013-02-01,bsearch,brand,mobile,Returning,5,2,0,0,0,0,NULL
2013-02-01,bsearch,nonbrand,desktop,New,856,408,172,129,111,66,3499.34
2013-02-01,bsearch,nonbrand,mobile,New,104,31,8,5,5,3,169.97
2013-02-01,gsearch,brand,desktop,New,70,38,19,17,14,10,549.90
2013-02-01,gsearch,brand,desktop,Returning,160,107,47,36,29,24,1259.76
2013-02-01,gsearch,brand,mobile,New,45,18,3,2,2,1,59.99
2013-02-01,gsearch,brand,mobile,Returning,107,56,15,10,7,4,219.96
2013-02-01,gsearch,nonbrand,desktop,New,3603,1938,727,515,429,271,14497.29
2013-02-01,gsearch,nonbrand,mobile,New,1139,443,130,83,60,31,1689.69
2013-03-01,(none),(none),desktop,New,155,101,30,27,23,16,809.84
2013-03-01,(none),(none),desktop,Returning,399,300,105,70,60,31,1609.69
2013-03-01,(none),(none),mobile,New,98,41,7,2,1,0,NULL
2013-03-01,(none),(none),mobile,Returning,224,117,30,17,12,5,259.95
2013-03-01,bsearch,brand,desktop,New,21,8,4,3,2,1,49.99
2013-03-01,bsearch,brand,desktop,Returning,50,35,7,7,6,3,159.97
2013-03-01,bsearch,brand,mobile,New,4,2,0,0,0,0,NULL
2013-03-01,bsearch,brand,mobile,Returning,8,5,0,0,0,0,NULL
2013-03-01,bsearch,nonbrand,desktop,New,775,380,139,97,83,58,3029.42
2013-03-01,bsearch,nonbrand,mobile,New,95,27,8,5,5,3,149.97
2013-03-01,gsearch,brand,desktop,New,58,39,18,10,10,6,329.94
2013-03-01,gsearch,brand,desktop,Returning,147,101,34,24,19,9,449.91
2013-03-01,gsearch,brand,mobile,New,39,12,3,2,1,0,NULL
2013-03-01,gsearch,brand,mobile,Returning,110,52,14,8,4,2,109.98
2013-03-01,gsearch,nonbrand,desktop,New,3080,1750,619,427,357,224,11507.76
2013-03-01,gsearch,nonbrand,mobile,New,996,399,98,57,41,27,1429.73
2013-04-01,(none),(none),desktop,New,236,151,61,44,37,25,1299.75
2013-04-01,(none),(none),desktop,Returning,371,255,93,71,62,39,2029.61
2013-04-01,(none),(none),mobile,New,145,65,20,11,9,5,269.95
2013-04-01,(none),(none),mobile,Returning,242,113,26,20,12,4,209.96
2013-04-01,bsearch,brand,desktop,New,28,21,5,3,3,2,99.98
2013-04-01,bsearch,brand,desktop,Returning,52,36,10,7,6,2,109.98
2013-04-01,bsearch,brand,mobile,New,4,3,1,0,0,0,NULL
2013-04-01,bsearch,brand,mobile,Returning,13,4,1,1,1,0,NULL
2013-04-01,bsearch,nonbrand,desktop,New,1025,541,192,139,117,71,3649.29
2013-04-01,bsearch,nonbrand,mobile,New,114,38,12,9,7,6,309.94
2013-04-01,gsearch,brand,desktop,New,87,57,17,14,12,7,359.93
2013-04-01,gsearch,brand,desktop,Returning,165,120,48,36,30,21,1099.79
2013-04-01,gsearch,brand,mobile,New,60,24,9,5,4,3,149.97
2013-04-01,gsearch,brand,mobile,Returning,88,41,11,7,3,1,49.99
2013-04-01,gsearch,nonbrand,desktop,New,4058,2356,884,624,525,335,17266.65
2013-04-01,gsearch,nonbrand,mobile,New,1283,537,138,80,59,31,1619.69
2013-05-01,(none),(none),desktop,New,253,167,59,47,40,28,1439.72
2013-05-01,(none),(none),desktop,Returning,523,378,136,102,86,55,2799.45
2013-05-01,(none),(none),mobile,New,144,58,15,7,3,2,109.98
2013-05-01,(none),(none),mobile,Returning,271,137,34,20,17,11,569.89
2013-05-01,bsearch,brand,desktop,New,34,19,5,4,2,2,109.98
2013-05-01,bsearch,brand,desktop,Returning,79,58,16,12,8,5,269.95
2013-05-01,bsearch,brand,mobile,New,5,1,0,0,0,0,NULL
2013-05-01,bsearch,brand,mobile,Returning,11,3,1,1,1,0,NULL
2013-05-01,bsearch,nonbrand,desktop,New,1059,562,213,144,114,74,3849.26
2013-05-01,bsearch,nonbrand,mobile,New,87,23,6,4,4,4,209.96
2013-05-01,gsearch,brand,desktop,New,96,54,15,10,9,7,369.93
2013-05-01,gsearch,brand,desktop,Returning,185,128,43,25,22,15,779.85
2013-05-01,gsearch,brand,mobile,New,63,28,5,1,1,1,49.99
2013-05-01,gsearch,brand,mobile,Returning,132,57,20,9,5,3,149.97
2013-05-01,gsearch,nonbrand,desktop,New,4243,2472,892,603,504,321,16426.79
2013-05-01,gsearch,nonbrand,mobile,New,1261,536,148,98,75,43,2229.57
2013-06-01,(none),(none),desktop,New,250,144,61,42,32,22,1159.78
2013-06-01,(none),(none),desktop,Returning,489,338,137,89,81,54,2789.46
2013-06-01,(none),(none),mobile,New,153,78,21,11,7,3,159.97
2013-06-01,(none),(none),mobile,Returning,302,149,33,19,13,5,269.95
2013-06-01,bsearch,brand,desktop,New,31,18,5,4,3,3,149.97
2013-06-01,bsearch,brand,desktop,Returning,65,38,11,8,7,4,209.96
2013-06-01,bsearch,brand,mobile,New,5,1,1,1,0,0,NULL
2013-06-01,bsearch,brand,mobile,Returning,7,3,2,1,1,0,NULL
2013-06-01,bsearch,nonbrand,desktop,New,1048,534,189,137,116,80,4099.20
2013-06-01,bsearch,nonbrand,mobile,New,99,41,7,6,3,2,99.98
2013-06-01,gsearch,brand,desktop,New,89,54,21,13,12,6,319.94
2013-06-01,gsearch,brand,desktop,Returning,202,138,53,43,34,26,1329.74
2013-06-01,gsearch,brand,mobile,New,60,26,6,3,1,0,NULL
2013-06-01,gsearch,brand,mobile,Returning,119,66,20,11,8,5,279.95
2013-06-01,gsearch,nonbrand,desktop,New,4092,2430,905,642,540,351,18006.49
2013-06-01,gsearch,nonbrand,mobile,New,1309,539,142,81,60,33,1729.67
2013-07-01,(none),(none),desktop,New,310,193,74,53,45,34,1759.66
2013-07-01,(none),(none),desktop,Returning,542,383,133,92,73,53,2699.47
2013-07-01,(none),(none),mobile,New,186,90,32,17,15,9,459.91
2013-07-01,(none),(none),mobile,Returning,332,165,53,34,30,17,889.83
2013-07-01,bsearch,brand,desktop,New,38,25,5,2,1,0,NULL
2013-07-01,bsearch,brand,desktop,Returning,75,60,23,15,15,11,569.89
2013-07-01,bsearch,brand,mobile,New,7,2,0,0,0,0,NULL
2013-07-01,bsearch,brand,mobile,Returning,8,5,2,0,0,0,NULL
2013-07-01,bsearch,nonbrand,desktop,New,1050,571,217,147,124,80,4119.20
2013-07-01,bsearch,nonbrand,mobile,New,114,46,10,6,5,5,249.95
2013-07-01,gsearch,brand,desktop,New,115,77,26,12,11,8,429.92
2013-07-01,gsearch,brand,desktop,Returning,245,167,61,37,30,18,939.82
2013-07-01,gsearch,brand,mobile,New,76,42,13,10,7,5,259.95
2013-07-01,gsearch,brand,mobile,Returning,153,71,20,10,6,4,199.96
2013-07-01,gsearch,nonbrand,desktop,New,4331,2470,896,611,502,316,16286.84
2013-07-01,gsearch,nonbrand,mobile,New,1325,655,200,111,80,43,2229.57
2013-08-01,(none),(none),desktop,New,312,200,68,50,42,25,1269.75
2013-08-01,(none),(none),desktop,Returning,570,396,139,98,88,56,2889.44
2013-08-01,(none),(none),mobile,New,200,91,29,18,11,5,269.95
2013-08-01,(none),(none),mobile,Returning,352,175,50,27,17,7,349.93
2013-08-01,bsearch,brand,desktop,New,40,26,10,7,6,4,209.96
2013-08-01,bsearch,brand,desktop,Returning,77,55,17,14,12,9,469.91
2013-08-01,bsearch,brand,mobile,New,7,2,1,0,0,0,NULL
2013-08-01,bsearch,brand,mobile,Returning,19,7,2,2,1,0,NULL
2013-08-01,bsearch,nonbrand,desktop,New,989,512,197,133,110,71,3629.29
2013-08-01,bsearch,nonbrand,mobile,New,158,68,21,11,10,8,399.92
2013-08-01,gsearch,brand,desktop,New,121,75,26,19,16,12,629.88
2013-08-01,gsearch,brand,desktop,Returning,234,164,59,45,37,28,1449.72
2013-08-01,gsearch,brand,mobile,New,81,43,9,5,4,3,169.97
2013-08-01,gsearch,brand,mobile,Returning,144,66,10,4,2,0,NULL
2013-08-01,gsearch,nonbrand,desktop,New,4175,2410,872,593,500,320,16476.80
2013-08-01,gsearch,nonbrand,mobile,New,1705,939,270,165,109,60,3159.40
2013-09-01,(none),(none),desktop,New,332,209,72,53,43,23,1219.77
2013-09-01,(none),(none),desktop,Returning,572,396,129,94,83,59,3139.39
2013-09-01,(none),(none),mobile,New,207,78,15,9,8,5,249.95
2013-09-01,(none),(none),mobile,Returning,350,197,55,35,27,17,869.83
2013-09-01,bsearch,brand,desktop,New,40,27,6,6,6,3,149.97
2013-09-01,bsearch,brand,desktop,Returning,80,55,18,11,8,3,149.97
2013-09-01,bsearch,brand,mobile,New,6,3,0,0,0,0,NULL
2013-09-01,bsearch,brand,mobile,Returning,19,6,2,1,1,0,NULL
2013-09-01,bsearch,nonbrand,desktop,New,997,503,184,126,102,73,3709.27
2013-09-01,bsearch,nonbrand,mobile,New,210,74,24,14,10,8,419.92
2013-09-01,gsearch,brand,desktop,New,126,85,38,24,19,13,679.87
2013-09-01,gsearch,brand,desktop,Returning,228,167,68,43,37,23,1179.77
2013-09-01,gsearch,brand,mobile,New,85,42,9,7,7,5,259.95
2013-09-01,gsearch,brand,mobile,Returning,152,83,23,13,9,5,259.95
2013-09-01,gsearch,nonbrand,desktop,New,3988,2328,851,600,488,330,17226.66
2013-09-01,gsearch,nonbrand,mobile,New,2182,1144,291,164,109,63,3259.37
2013-10-01,(none),(none),desktop,New,420,265,94,65,46,31,1639.68
2013-10-01,(none),(none),desktop,Returning,696,493,171,123,105,60,3339.36
2013-10-01,(none),(none),mobile,New,259,120,31,24,13,6,319.94
2013-10-01,(none),(none),mobile,Returning,419,224,65,41,30,18,1059.80
2013-10-01,bsearch,brand,desktop,New,51,33,10,8,7,5,269.95
2013-10-01,bsearch,brand,desktop,Returning,89,60,16,14,10,9,449.91
2013-10-01,bsearch,brand,mobile,New,9,3,2,1,0,0,NULL
2013-10-01,bsearch,brand,mobile,Returning,15,11,3,1,1,0,NULL
2013-10-01,bsearch,nonbrand,desktop,New,1120,573,208,144,122,71,3819.26
2013-10-01,bsearch,nonbrand,mobile,New,178,87,23,10,6,4,209.96
2013-10-01,gsearch,brand,desktop,New,154,105,36,29,26,22,1189.77
2013-10-01,gsearch,brand,desktop,Returning,269,178,72,54,45,24,1229.76
2013-10-01,gsearch,brand,mobile,New,103,50,14,5,4,2,99.98
2013-10-01,gsearch,brand,mobile,Returning,167,91,29,18,12,5,249.95
2013-10-01,gsearch,nonbrand,desktop,New,4488,2536,954,700,589,385,20965.97
2013-10-01,gsearch,nonbrand,mobile,New,2347,1215,320,189,128,66,3399.33
2013-11-01,(none),(none),desktop,New,537,316,117,93,72,42,2409.55
2013-11-01,(none),(none),desktop,Returning,655,453,167,112,95,57,3209.38
2013-11-01,(none),(none),mobile,New,335,157,40,25,18,13,679.87
2013-11-01,(none),(none),mobile,Returning,388,196,61,35,25,11,619.88
2013-11-01,bsearch,brand,desktop,New,73,45,15,12,8,7,359.93
2013-11-01,bsearch,brand,desktop,Returning,83,61,22,13,11,8,419.92
2013-11-01,bsearch,brand,mobile,New,12,5,3,3,2,1,49.99
2013-11-01,bsearch,brand,mobile,Returning,15,8,1,1,1,1,49.99
2013-11-01,bsearch,nonbrand,desktop,New,1383,681,251,169,139,88,4569.12
2013-11-01,bsearch,nonbrand,mobile,New,286,132,25,15,13,4,209.96
2013-11-01,gsearch,brand,desktop,New,202,118,40,28,24,20,1019.80
2013-11-01,gsearch,brand,desktop,Returning,271,196,65,51,41,28,1469.71
2013-11-01,gsearch,brand,mobile,New,135,59,18,8,7,3,149.97
2013-11-01,gsearch,brand,mobile,Returning,169,81,20,13,8,4,209.96
2013-11-01,gsearch,nonbrand,desktop,New,6124,3591,1307,918,757,461,24905.20
2013-11-01,gsearch,nonbrand,mobile,New,3364,1786,491,291,214,113,6298.79
2013-12-01,(none),(none),desktop,New,672,428,177,123,98,53,2961.43
2013-12-01,(none),(none),desktop,Returning,888,596,233,169,144,101,5824.86
2013-12-01,(none),(none),mobile,New,414,173,54,32,28,12,669.87
2013-12-01,(none),(none),mobile,Returning,580,281,81,48,35,16,865.83
2013-12-01,bsearch,brand,desktop,New,89,57,20,15,13,11,711.86
2013-12-01,bsearch,brand,desktop,Returning,114,79,31,23,21,16,867.83
2013-12-01,bsearch,brand,mobile,New,18,9,2,1,1,1,59.99
2013-12-01,bsearch,brand,mobile,Returning,22,11,5,3,1,0,NULL
2013-12-01,bsearch,nonbrand,desktop,New,1519,803,291,201,158,101,5646.90
2013-12-01,bsearch,nonbrand,mobile,New,359,171,66,45,37,23,1195.77
2013-12-01,gsearch,brand,desktop,New,241,158,63,44,41,26,1369.73
2013-12-01,gsearch,brand,desktop,Returning,368,256,97,76,64,41,2215.57
2013-12-01,gsearch,brand,mobile,New,169,74,21,14,12,7,355.93
2013-12-01,gsearch,brand,mobile,Returning,260,135,41,25,17,7,401.92
2013-12-01,gsearch,nonbrand,desktop,New,6552,3734,1404,979,799,505,28194.46
2013-12-01,gsearch,nonbrand,mobile,New,3470,1876,550,326,233,127,6920.65
2014-01-01,(none),(none),desktop,New,581,371,129,87,75,50,2673.47
2014-01-01,(none),(none),desktop,Returning,1128,799,342,227,181,112,6496.73
2014-01-01,(none),(none),mobile,New,363,156,40,18,9,2,99.98
2014-01-01,(none),(none),mobile,Returning,652,335,89,60,44,30,1811.65
2014-01-01,bsearch,brand,desktop,New,72,46,24,22,18,12,671.87
2014-01-01,bsearch,brand,desktop,Returning,152,110,48,30,23,16,893.82
2014-01-01,bsearch,brand,mobile,New,11,6,2,2,1,0,NULL
2014-01-01,bsearch,brand,mobile,Returning,27,14,6,2,2,1,49.99
2014-01-01,bsearch,nonbrand,desktop,New,1384,713,266,200,163,99,5706.89
2014-01-01,bsearch,nonbrand,mobile,New,230,102,36,23,17,10,659.87
2014-01-01,gsearch,brand,desktop,New,220,141,59,38,32,20,1051.80
2014-01-01,gsearch,brand,desktop,Returning,445,312,120,91,73,58,3291.35
2014-01-01,gsearch,brand,mobile,New,145,76,25,16,10,4,305.94
2014-01-01,gsearch,brand,mobile,Returning,297,152,46,29,19,9,567.89
2014-01-01,gsearch,nonbrand,desktop,New,4948,2879,1189,849,704,451,25738.94
2014-01-01,gsearch,nonbrand,mobile,New,2552,1358,398,224,157,92,5414.93
2014-01-01,socialbook,pilot,desktop,New,168,53,20,14,12,7,539.89
2014-01-01,socialbook,pilot,mobile,New,1450,166,50,33,21,10,653.87
2014-02-01,(none),(none),desktop,New,725,448,194,138,114,71,4519.10
2014-02-01,(none),(none),desktop,Returning,1030,702,306,207,181,122,8168.30
2014-02-01,(none),(none),mobile,New,447,201,49,30,21,7,475.90
2014-02-01,(none),(none),mobile,Returning,617,326,104,64,46,27,1617.66
2014-02-01,bsearch,brand,desktop,New,96,57,19,10,9,6,357.93
2014-02-01,bsearch,brand,desktop,Returning,140,91,35,22,20,11,703.85
2014-02-01,bsearch,brand,mobile,New,14,7,4,2,2,0,NULL
